Id interne de valorisation;Date;Type;Famille de produit;Code produit;Produit;Param1;Param2;Param3;Description;Prénom utilisateur;Nom utilisateur;Quantité;Prix d'achat;Client/revendeur direct (niv. 1);Réf. client/revendeur direct (niv. 1);Prix d'achat niv. 1 (Prix de revente);Nom client Niveau 2;Ref client Niveau 2;Prix client Niveau 2
17373043292;2025-06-01 00:00:00;Abonnement;Liens d'accès FR;03-1220-01-M;FTTH SFR 200 Mb / 50 Mb - Zone ZMD;LAAI3Z9S;ARBS ASS ROTARIENNE BIBLIO SCOLAIRE;2022-12-21 00:00:00;;;;1,00;39,00;ARBS ASS ROTARIENNE BIBLIO SCOLAIRE;411ARBS;0,00;ARBS - Marcq-en-Baroeul;411ARBS;0,00
17373102868;2025-06-01 00:00:00;Abonnement;Liens d'accès FR;03-1222-01-M;FTTH SFR 1 Gb / 200 Mb - Zone ZMD;LAAIA5U0;HAUTMONT FINANCEMENT;2023-01-06 00:00:00;;;;1,00;39,00;HAUTMONT FINANCEMENT;411HAUMONTFIN;0,00;;;
17373103803;2025-06-01 00:00:00;Abonnement;Liens d'accès FR;03-1210-01-M;FTTH SFR 1 Gb / 200 Mb - Zone ZTD;LAAFHIKL;TRANSPORTS MARCHAND;2021-03-24 00:00:00;;;;1,00;39,00;TRANSPORTS MARCHAND;411MARCHAND;0,00;;;
17373113388;2025-06-01 00:00:00;Abonnement;Liens d'accès FR;03-1222-01-M;FTTH SFR 1 Gb / 200 Mb - Zone ZMD;LAAIA9P4;SOC EXPERTISE COMPTABLE VERLOO & ASSOCIE;2022-11-16 00:00:00;;;;1,00;39,00;SOCIETE D'EXPERTISE COMPTABLE VERLOO ET ASSOCIES;411VERLOO;0,00;SOCIETE D'EXPERTISE COMPTABLE VERLOO ET ASSOCIES (site principal);411VERLOO;0,00
17373117622;2025-06-01 00:00:00;Abonnement;Liens d'accès FR;03-325-01-M;SDSL EFM 512 Kbps - Orange Zone ZC1 - 1 paire;0327888408;MADAME SANDRA SULPIZI (AXA);2019-06-20 05:42:50;;;;1,00;58,00;MADAME SANDRA SULPIZI (AXA);411SULPIZI;0,00;MADAME SANDRA SULPIZI (AXA) (site SOMAIN);411SULPIZI;0,00
17373118230;2025-06-01 00:00:00;Abonnement;Liens d'accès FR;03-1043-01-M;FTTH Bouygues 1 Gbps;0844067812;BATI SERVICE;2022-11-23 22:53:00;;;;1,00;39,00;BATI SERVICE;411BATI;0,00;;;
17373143480;2025-06-01 00:00:00;Abonnement;Liens d'accès FR;03-1035-01-M;FTTH Orange 1 Gb;754614587;SAFIR IMMO INVESTISSEMENT;2020-07-01 00:00:00;;;;1,00;49,00;SAFIR IMMO INVESTISSEMENT;411SAFIR;0,00;;;
17373165091;2025-06-01 00:00:00;Abonnement;Liens d'accès FR;03-1043-01-M;FTTH Bouygues 1 Gbps;0844108918;COMMUNE DE LANNOY;2024-02-14 18:37:42;;;;1,00;39,00;COMMUNE DE LANNOY;411COMLANNOY;0,00;;;
17373184355;2025-06-01 00:00:00;Abonnement;Liens d'accès FR;03-2047-01-M;FTTH Orange 1 Gbps / 800 Mbps;VIA000000049423;COURTAGE DU HAINAUT - MEILLEURTAUX CAMBRAI;2022-12-16 00:00:00;;;;1,00;42,00;FINANCEMENT DU CAMBRESIS - MEILLEUR TAUX CAMBRAI;411FINCAMBRESIS;0,00;;;
17373196054;2025-06-01 00:00:00;Abonnement;Liens d'accès FR;03-1043-01-M;FTTH Bouygues 1 Gbps;0844063915;BAYART DL;2022-10-26 18:52:10;;;;1,00;39,00;BAYART DL;411BAYART;0,00;;;
